Reference_Number,Reference_Text,Citation_Count,Context_1,Context_2,Context_3,All_Match_Texts,Pattern_Types,Paragraph_Locations
11,"Baud RH, Alpay L, Lovis C (1 99 4) Let ’ s meet the users with natural language understanding. Knowledge",1,"cords were archived. At later stage the LSP-MLP has been adapted for French [ 1 0 , 7 2 , 9 4 , 1 13 ], and finally, a proper NLP system called RECIT [ 9 , 1 1 , 1 7 , 1 06 ] has been developed using a method called Proximity Processing [ 8 8 ]. It ’ s task was to implement a robust and multilingual...",,,"[ 9 , 1 1 , 1 7 , 1 06 ]",Format_1 1_Pattern_2,44
12,"Bengio Y, Ducharme R, Vincent P (2 00 1) A neural probabilistic language model. Proceedings of NIPS",3,"arly 2 00 0, neural language modeling in which the probability of occurring of next word (token) is determined given n previous words. Bendigo et al. [ 1 2 ] proposed the concept of feed forward neural network and lookup table which represents the n previous words in sequence. Collobert et al. [ 2 9...","arly 2 00 0, neural language modeling in which the probability of occurring of next word (token) is determined given n previous words. Bendigo et al. [ 1 2 ] proposed the concept of feed forward neural network and lookup table which represents the n previous words in sequence. Collobert et al. [ 2 9...","The main objectives of NLP include interpretation, analysis, and manipulation of natural language data for the intended purpose with the use of various algorithms, tools, and methods. However, there are many challenges involved which may depend upon the natural language data under consideration, and...","[ 1 2 ] | [ 1 2 ] | The main objectives of NLP include interpretation, analysis, and manipulation of natural
language data for the intended purpose with the use of various algorithms, tools, and methods.
However, there are many challenges involved which may depend upon the natural language
data under consideration, and so makes it difficult to achieve all the objectives with a single
approach. Therefore, the development of different tools and methods in the field of NLP and
relevant areas of studies have received much attention from several researchers in the recent
past. The developments can be seen in the Fig. 3 :
In early 2 00 0, neural language modeling in which the probability of occurring of next word
(token) is determined given n previous words. Bendigo et al. [ 1 2 ]",Format_1 2_Pattern_1 | Format_1 2_Pattern_2 | Format_1 2_Pattern_6,"29, 29, 29"
13,"Benson E, Haghighi A, Barzilay R (2 01 1) Event discovery in social media feeds. In proceedings of the",4,"a given verb, and finally classifying these nodes to compute the corresponding SRL tags. Event discovery in social media feeds (Benson et al.,2 01 1) [ 1 3 ], using a graphical model to analyze any social media feeds to determine whether it contains the name of a person or name of a venue, place, ti...","a given verb, and finally classifying these nodes to compute the corresponding SRL tags. Event discovery in social media feeds (Benson et al.,2 01 1) [ 1 3 ], using a graphical model to analyze any social media feeds to determine whether it contains the name of a person or name of a venue, place, ti...","esent the arguments of a given verb, and finally classifying these nodes to compute the corresponding SRL tags. Event discovery in social media feeds (Benson et al.,2 01 1) [ 1 3 ], using a graphical model to analyze any social media feeds to determine whether it contains the name of a person or nam...","[ 1 3 ] | [ 1 3 ] | (Benson et al.,2 01 1) [ 1 3 ] | The precise arguments depend on the verb frame and if
multiple verbs exist in a sentence, it might have multiple tags. State-of-the-art SRL systems
comprise several stages: creating a parse tree, identifying which parse tree nodes represent the
arguments of a given verb, and finally classifying these nodes to compute the corresponding
SRL tags.
Event discovery in social media feeds (Benson et al.,2 01 1) [ 1 3 ]",Format_1 3_Pattern_1 | Format_1 3_Pattern_2 | Format_1 3_Pattern_5 | Format_1 3_Pattern_6,"35, 35, 35, 35"
14,"Berger AL, Della Pietra SA, Della Pietra VJ (1 99 6) A maximum entropy approach to natural language",4,"vector machines (Druker et al., 1 99 9) [ 3 6 ], Decision Trees (Carreras and Marquez, 2 00 1) [ 1 9 ], Maximum Entropy Model (Berger et al. 1 99 6) [ 1 4 ], Hash Forest and a rule encoding method (T. Xia, 2 02 0) [ 1 53 ], sometimes combining different learners (Sakkis et al., 2 00 1) [ 1 16 ]. Usi...","vector machines (Druker et al., 1 99 9) [ 3 6 ], Decision Trees (Carreras and Marquez, 2 00 1) [ 1 9 ], Maximum Entropy Model (Berger et al. 1 99 6) [ 1 4 ], Hash Forest and a rule encoding method (T. Xia, 2 02 0) [ 1 53 ], sometimes combining different learners (Sakkis et al., 2 00 1) [ 1 16 ]. Usi...","0 b) [ 1 17 ], Support vector machines (Druker et al., 1 99 9) [ 3 6 ], Decision Trees (Carreras and Marquez, 2 00 1) [ 1 9 ], Maximum Entropy Model (Berger et al. 1 99 6) [ 1 4 ], Hash Forest and a rule encoding method (T. Xia, 2 02 0) [ 1 53 ], sometimes combining different learners (Sakkis et al....","[ 1 4 ] | [ 1 4 ] | (Berger et al. 1 99 6) [ 1 4 ] | Maximum
Entropy Model (Berger et al. 1 99 6) [ 1 4 ]",Format_1 4_Pattern_1 | Format_1 4_Pattern_2 | Format_1 4_Pattern_5 | Format_1 4_Pattern_6,"38, 38, 38, 38"
15,"Blanzieri E, Bryl A (2 00 8) A survey of learning-based techniques of email spam filtering. Artif Intell Rev",3,"ment. Most text categorization approaches to anti-spam Email filtering have used multi variate Bernoulli model (Androutsopoulos et al., 2 00 0) [ 5 ] [ 1 5 ]. d) Information Extraction Information extraction is concerned with identifying phrases of interest of textual data. For many applications, ex...","ment. Most text categorization approaches to anti-spam Email filtering have used multi variate Bernoulli model (Androutsopoulos et al., 2 00 0) [ 5 ] [ 1 5 ]. d) Information Extraction Information extraction is concerned with identifying phrases of interest of textual data. For many applications, ex...","that even though a great amount of work on natural language processing is available in literature surveys (one may refer to [ 1 5 , 3 2 , 6 3 , 9 8 , 1 33 , 1 51 ] focusing on one domain such as usage of deep-learning techniques in NLP, techniques used for email spam filtering, medication safety, ma...","[ 1 5 ] | [ 1 5 ] | [ 1 5 , 3 2 , 6 3 , 9 8 , 1 33 , 1 51 ]",Format_1 5_Pattern_1 | Format_1 5_Pattern_2 | Format_1 5_Pattern_2,"38, 38, 73"
16,"Bondale N, Maloor P, Vaidyanathan A, Sengupta S, Rao PV (1 99 9) Extraction of information from open-",4,"on to discourse analysis at the level of the complete document. An application of the Blank Slate Language Processor (BSLP) ( Bondale et al., 1 99 9) [ 1 6 ] approach for the analysis of a real-life natural language corpus that consists of responses to open-ended questionnaires in the field of adver...","on to discourse analysis at the level of the complete document. An application of the Blank Slate Language Processor (BSLP) ( Bondale et al., 1 99 9) [ 1 6 ] approach for the analysis of a real-life natural language corpus that consists of responses to open-ended questionnaires in the field of adver...","evels, from word recognition to discourse analysis at the level of the complete document. An application of the Blank Slate Language Processor (BSLP) ( Bondale et al., 1 99 9) [ 1 6 ] approach for the analysis of a real-life natural language corpus that consists of responses to open-ended questionna...","[ 1 6 ] | [ 1 6 ] | ( Bondale et al., 1 99 9) [ 1 6 ] | IE systems should work at many levels, from
word recognition to discourse analysis at the level of the complete document. An application
of the Blank Slate Language Processor (BSLP) ( Bondale et al., 1 99 9) [ 1 6 ]",Format_1 6_Pattern_1 | Format_1 6_Pattern_2 | Format_1 6_Pattern_5 | Format_1 6_Pattern_6,"40, 40, 40, 40"
17,"Borst F, Sager N, Nhàn NT, Su Y, Lyman M, Tick LJ, ..., Scherrer JR (1 98 9) Analyse automatique de",1,"cords were archived. At later stage the LSP-MLP has been adapted for French [ 1 0 , 7 2 , 9 4 , 1 13 ], and finally, a proper NLP system called RECIT [ 9 , 1 1 , 1 7 , 1 06 ] has been developed using a method called Proximity Processing [ 8 8 ]. It ’ s task was to implement a robust and multilingual...",,,"[ 9 , 1 1 , 1 7 , 1 06 ]",Format_1 7_Pattern_2,44
18,"Briscoe EJ, Grover C, Boguraev B, Carroll J (1 98 7) A formalism and environment for the development of",4,"mmunities. Practical resources, grammars, and tools and parsers became available (for example: Alvey Natural Language Tools) (Briscoe et al., 1 98 7) [ 1 8 ]. The (D)ARPA speech recognition and message understanding (information extraction) conferences were not only for the tasks they addressed 3 72...","mmunities. Practical resources, grammars, and tools and parsers became available (for example: Alvey Natural Language Tools) (Briscoe et al., 1 98 7) [ 1 8 ]. The (D)ARPA speech recognition and message understanding (information extraction) conferences were not only for the tasks they addressed 3 72...","was one of the growing communities. Practical resources, grammars, and tools and parsers became available (for example: Alvey Natural Language Tools) (Briscoe et al., 1 98 7) [ 1 8 ]. The (D)ARPA speech recognition and message understanding (information extraction) conferences were not only for the ...","[ 1 8 ] | [ 1 8 ] | (Briscoe et al., 1 98 7) [ 1 8 ] | This period was one of the growing communities. Practical
resources, grammars, and tools and parsers became available (for example: Alvey Natural
Language Tools) (Briscoe et al., 1 98 7) [ 1 8 ]",Format_1 8_Pattern_1 | Format_1 8_Pattern_2 | Format_1 8_Pattern_5 | Format_1 8_Pattern_6,"26, 26, 26, 26"
19,"Carreras X, Marquez L (2 00 1) Boosting trees for anti-spam email filtering. ar Xiv preprint cs/0 10 90 15",4,"sed Learning (Sakkiset al.,2 00 0 b) [ 1 17 ], Support vector machines (Druker et al., 1 99 9) [ 3 6 ], Decision Trees (Carreras and Marquez, 2 00 1) [ 1 9 ], Maximum Entropy Model (Berger et al. 1 99 6) [ 1 4 ], Hash Forest and a rule encoding method (T. Xia, 2 02 0) [ 1 53 ], sometimes combining d...","sed Learning (Sakkiset al.,2 00 0 b) [ 1 17 ], Support vector machines (Druker et al., 1 99 9) [ 3 6 ], Decision Trees (Carreras and Marquez, 2 00 1) [ 1 9 ], Maximum Entropy Model (Berger et al. 1 99 6) [ 1 4 ], Hash Forest and a rule encoding method (T. Xia, 2 02 0) [ 1 53 ], sometimes combining d...",") [ 5 , 1 09 , 1 15 ],Memory based Learning (Sakkiset al.,2 00 0 b) [ 1 17 ], Support vector machines (Druker et al., 1 99 9) [ 3 6 ], Decision Trees (Carreras and Marquez, 2 00 1) [ 1 9 ], Maximum Entropy Model (Berger et al. 1 99 6) [ 1 4 ], Hash Forest and a rule encoding method (T. Xia, 2 02 0) ...","[ 1 9 ] | [ 1 9 ] | (Carreras and Marquez, 2 00 1) [ 1 9 ] | Decision Trees (Carreras and Marquez, 2 00 1) [ 1 9 ]",Format_1 9_Pattern_1 | Format_1 9_Pattern_2 | Format_1 9_Pattern_5 | Format_1 9_Pattern_6,"38, 38, 38, 38"
20,"Chalkidis I, Fergadiotis M, Malakasiotis P, Aletras N, Androutsopoulos I (2 02 0) LEGAL-BERT: the",3,"9 0 ] used the BERT model to analyze the tweets on covid-1 9 content. The use of the BERT model in the legal domain was explored by Chalkidis et al. [ 2 0 ]. Since BERT considers up to 5 12 tokens, this is the reason if there is a long text sequence that must be divided into multiple short text sequ...","9 0 ] used the BERT model to analyze the tweets on covid-1 9 content. The use of the BERT model in the legal domain was explored by Chalkidis et al. [ 2 0 ]. Since BERT considers up to 5 12 tokens, this is the reason if there is a long text sequence that must be divided into multiple short text sequ...",epresentation for “ bank ” in both the sentences whereas BERT will have different vector representation for “ bank ” . Muller et al. [ 9 0 ] used the BERT model to analyze the tweets on covid-1 9 content. The use of the BERT model in the legal domain was explored by Chalkidis et al. [ 2 0 ]. Since B...,"[ 2 0 ] | [ 2 0 ] | BERT model to analyze the tweets on covid-1 9 content.
The use of the BERT model in the legal domain was explored by Chalkidis et al. [ 2 0 ]",Format_2 0_Pattern_1 | Format_2 0_Pattern_2 | Format_2 0_Pattern_6,"63, 63, 63"
21,"Chi EC, Lyman MS, Sager N, Friedman C, Macleod C (1 98 5) A database of computer-structured",1,"pplied in the field as well. The Linguistic String Project-Medical Language Processor is one the large scale projects of NLP in the field of medicine [ 2 1 , 5 3 , 5 7 , 7 1 , 1 14 ]. The LSP- MLP helps enabling physicians to extract and summarize information of any signs or symptoms, drug dosage an...",,,"[ 2 1 , 5 3 , 5 7 , 7 1 , 1 14 ]",Format_2 1_Pattern_2,42
22,"Cho K, Van Merriënboer B, Bahdanau D, Bengio Y, (2 01 4) On the properties of neural machine",1,"M has also led to a slightly simpler variant, called the gated recurrent unit (GRU), which has shown better results than standard LSTMs in many tasks [ 2 2 , 2 6 ]. Attention mechanisms [ 7 ] which suggest a network to learn what to pay attention to in accordance with the current hidden state and an...",,,"[ 2 2 , 2 6 ]",Format_2 2_Pattern_2,31
23,"Chomsky N (1 96 5) Aspects of the theory of syntax. MIT Press, Cambridge, Massachusetts",4,"d syntactic theories, marked a unique position in the field of theoretical linguistics because he revolutionized the area of syntax (Chomsky, 1 96 5) [ 2 3 ]. Further, Natural Language Genera- tion (NLG) is the process of producing phrases, sentences and paragraphs that are meaningful from an intern...","d syntactic theories, marked a unique position in the field of theoretical linguistics because he revolutionized the area of syntax (Chomsky, 1 96 5) [ 2 3 ]. Further, Natural Language Genera- tion (NLG) is the process of producing phrases, sentences and paragraphs that are meaningful from an intern...","entury that started syntactic theories, marked a unique position in the field of theoretical linguistics because he revolutionized the area of syntax (Chomsky, 1 96 5) [ 2 3 ]. Further, Natural Language Genera- tion (NLG) is the process of producing phrases, sentences and paragraphs that are meaning...","[ 2 3 ] | [ 2 3 ] | (Chomsky, 1 96 5) [ 2 3 ] | Since all the users may not be
well-versed in machine specific language, N atural Language Processing (NLP) caters those
users who do not have enough time to learn new languages or get perfection in it. In fact, NLP
is a tract of Artificial Intelligence and Linguistics, devoted to make computers understand the
statements or words written in human languages. It came into existence to ease the user ’ s work
and to satisfy the wish to communicate with the computer in natural language, and can be
classified into two parts i.e. Natural Language Understanding or Linguistics and Natural
Language Generation which evolves the task to understand and generate the text. L inguistics
is the science of language which includes Phonology that refers to sound, Morphology word
formation, Syntax sentence structure, Semantics syntax and Pragmatics which refers to
understanding. Noah Chomsky, one of the first linguists of twelfth century that started
syntactic theories, marked a unique position in the field of theoretical linguistics because he
revolutionized the area of syntax (Chomsky, 1 96 5) [ 2 3 ]",Format_2 3_Pattern_1 | Format_2 3_Pattern_2 | Format_2 3_Pattern_5 | Format_2 3_Pattern_6,"10, 10, 10, 10"
24,Choudhary N (2 02 1) LDC-IL: the Indian repository of resources for language technology. Lang Resources,3,chnology Development Programme for Indian Languages (TDIL) launched its own data distribution portal ( www. tdil-dc.in ) which has cataloged datasets [ 2 4 ]. 3. Machine Translation: The task of converting the text of one natural language into another language while keeping the sense of the input te...,chnology Development Programme for Indian Languages (TDIL) launched its own data distribution portal ( www. tdil-dc.in ) which has cataloged datasets [ 2 4 ]. 3. Machine Translation: The task of converting the text of one natural language into another language while keeping the sense of the input te...,"kens for validation, and 8 2,0 00 tokens for testing purposes. Its context is limited since it comprises sentences rather than paragraphs [ 7 6 ]. d) The Ministry of Electronics and Information Technology ’ s Technology Development Programme for Indian Languages (TDIL) launched its own data distribu...","[ 2 4 ] | [ 2 4 ] | The Ministry of Electronics and Information Technology ’ s Technology Development
Programme for Indian Languages (TDIL) launched its own data distribution portal ( www.
tdil-dc.in ) which has cataloged datasets [ 2 4 ]",Format_2 4_Pattern_1 | Format_2 4_Pattern_2 | Format_2 4_Pattern_6,"53, 53, 53"
25,"Chouikhi H, Chniter H, Jarray F (2 02 1) Arabic sentiment analysis using BERT model. In international",1,"or various NLP tasks such as question answering, sentiment analysis, text classification, sentence embedding, interpreting ambiguity in the text etc. [ 2 5 , 3 3 , 9 0 , 1 48 ]. Earlier language-based models examine the text in either of one direction which is used for sentence generation by predict...",,,"[ 2 5 , 3 3 , 9 0 , 1 48 ]",Format_2 5_Pattern_2,63
26,"Chung J, Gulcehre C, Cho K, Bengio Y, (2 01 4) Empirical evaluation of gated recurrent neural networks",1,"M has also led to a slightly simpler variant, called the gated recurrent unit (GRU), which has shown better results than standard LSTMs in many tasks [ 2 2 , 2 6 ]. Attention mechanisms [ 7 ] which suggest a network to learn what to pay attention to in accordance with the current hidden state and an...",,,"[ 2 2 , 2 6 ]",Format_2 6_Pattern_2,31
