Reference_Number,Reference_Text,Citation_Count,Context
10,"Baud RH, Rassinoux AM, Scherrer JR (1 99 2) Natural language processing and semantical representation of medical texts. Methods Inf Med 3 1(2):1 17 – 1 25",2,"iedhammer K, Favre B, Hakkani-Tür D (2 01 0) Long story short – global unsupervised models for keyphrase based meeting summarization. Speech Comm 5 2(1 0):8 01 – 8 15 ## 1 11. Ritter A, Clark S, Etzioni O (2 01 1) Named entity recognition in tweets: an experimental study. In proceedings of the conferen"
11,"Baud RH, Alpay L, Lovis C (1 99 4) Let ’ s meet the users with natural language understanding. Knowledge and Decisions in Health Telematics: The Next Decade 1 2:1 03",1,"01 9) Unsupervised cross-media retrieval using domain adaptation with scene graph. IEEE Transactions on Circuits and Systems for Video Technology 3 0(1 1):4 36 8 – 4 37 9 ## 1 03. Porter MF (1 98 0) An algorithm for suffix stripping. Program 1 4(3):1 30 – 1 37 ## 1 04. Rae JW, Potapenko A, Jayakumar SM"
12,"Bengio Y, Ducharme R, Vincent P (2 00 1) A neural probabilistic language model. Proceedings of NIPS",1,"arly 2 00 0, neural language modeling in which the probability of occurring of next word (token) is determined given n previous words. Bendigo et al. [ 1 2 ] proposed the concept of feed forward neural network and lookup table which represents the n previous words in sequence. Collobert et al. [ 2 9 ] prop"
13,"Benson E, Haghighi A, Barzilay R (2 01 1) Event discovery in social media feeds. In proceedings of the 4 9 th annual meeting of the Association for Computational Linguistics: human language technologies- volume 1 (pp. 3 89-3 98). Assoc Comput Linguist",1,"a given verb, and finally classifying these nodes to compute the corresponding SRL tags. Event discovery in social media feeds (Benson et al.,2 01 1) [ 1 3 ], using a graphical model to analyze any social media feeds to determine whether it contains the name of a person or name of a venue, place, time etc."
14,"Berger AL, Della Pietra SA, Della Pietra VJ (1 99 6) A maximum entropy approach to natural language processing. Computational Linguistics 2 2(1):3 9 – 7 1",1,"vector machines (Druker et al., 1 99 9) [ 3 6 ], Decision Trees (Carreras and Marquez, 2 00 1) [ 1 9 ], Maximum Entropy Model (Berger et al. 1 99 6) [ 1 4 ], Hash Forest and a rule encoding method (T. Xia, 2 02 0) [ 1 53 ], sometimes combining different learners (Sakkis et al., 2 00 1) [ 1 16 ]. Using the"
15,"Blanzieri E, Bryl A (2 00 8) A survey of learning-based techniques of email spam filtering. Artif Intell Rev 2 9(1):6 3 – 9 2 3 73 8 Multimedia Tools and Applications (2 02 3) 8 2:3 71 3–3 74 4 <!-- Page 27 -->",1,"ment. Most text categorization approaches to anti-spam Email filtering have used multi variate Bernoulli model (Androutsopoulos et al., 2 00 0) [ 5 ] [ 1 5 ]. d) Information Extraction Information extraction is concerned with identifying phrases of interest of textual data. For many applications, extractin"
16,"Bondale N, Maloor P, Vaidyanathan A, Sengupta S, Rao PV (1 99 9) Extraction of information from open- ended questionnaires using natural language processing techniques. Computer Science and Informatics 2 9(2):1 5 – 2 2",1,"on to discourse analysis at the level of the complete document. An application of the Blank Slate Language Processor (BSLP) ( Bondale et al., 1 99 9) [ 1 6 ] approach for the analysis of a real-life natural language corpus that consists of responses to open-ended questionnaires in the field of advertising."
18,"Briscoe EJ, Grover C, Boguraev B, Carroll J (1 98 7) A formalism and environment for the development of a large grammar of English. IJCAI 8 7:7 03 – 7 08",1,"mmunities. Practical resources, grammars, and tools and parsers became available (for example: Alvey Natural Language Tools) (Briscoe et al., 1 98 7) [ 1 8 ]. The (D)ARPA speech recognition and message understanding (information extraction) conferences were not only for the tasks they addressed 3 72 0 Mult"
19,"Carreras X, Marquez L (2 00 1) Boosting trees for anti-spam email filtering. ar Xiv preprint cs/0 10 90 15",1,"sed Learning (Sakkiset al.,2 00 0 b) [ 1 17 ], Support vector machines (Druker et al., 1 99 9) [ 3 6 ], Decision Trees (Carreras and Marquez, 2 00 1) [ 1 9 ], Maximum Entropy Model (Berger et al. 1 99 6) [ 1 4 ], Hash Forest and a rule encoding method (T. Xia, 2 02 0) [ 1 53 ], sometimes combining differen"
20,"Chalkidis I, Fergadiotis M, Malakasiotis P, Aletras N, Androutsopoulos I (2 02 0) LEGAL-BERT: the muppets straight out of law school. ar Xiv preprint ar Xiv:2 01 0.0 25 59",1,"9 0 ] used the BERT model to analyze the tweets on covid-1 9 content. The use of the BERT model in the legal domain was explored by Chalkidis et al. [ 2 0 ]. Since BERT considers up to 5 12 tokens, this is the reason if there is a long text sequence that must be divided into multiple short text sequences"
23,"Chomsky N (1 96 5) Aspects of the theory of syntax. MIT Press, Cambridge, Massachusetts",1,"d syntactic theories, marked a unique position in the field of theoretical linguistics because he revolutionized the area of syntax (Chomsky, 1 96 5) [ 2 3 ]. Further, Natural Language Genera- tion (NLG) is the process of producing phrases, sentences and paragraphs that are meaningful from an internal repr"
24,Choudhary N (2 02 1) LDC-IL: the Indian repository of resources for language technology. Lang Resources & Evaluation 5 5:8 55 – 8 67. https://doi.org/1 0.1 00 7/s 10 57 9-0 20-0 95 23-3,1,chnology Development Programme for Indian Languages (TDIL) launched its own data distribution portal ( www. tdil-dc.in ) which has cataloged datasets [ 2 4 ]. 3. Machine Translation: The task of converting the text of one natural language into another language while keeping the sense of the input text is k
26,"Chung J, Gulcehre C, Cho K, Bengio Y, (2 01 4) Empirical evaluation of gated recurrent neural networks on sequence modeling. ar Xiv preprint ar Xiv:1 41 2.3 55 5",1,"also led to a slightly simpler variant, called the gated recurrent unit (GRU), which has shown better results than standard LSTMs in many tasks [ 2 2 , 2 6 ]. Attention mechanisms [ 7 ] which suggest a network to learn what to pay attention to in accordance with the current hidden state and annotation toge"
27,"Cohen WW (1 99 6) Learning rules that classify e-mail. In AAAI spring symposium on machine learning in information access (Vol. 1 8, p. 2 5)",1,"n recent times, various machine learning techniques have been applied to text categorization or Anti-Spam Filtering like Rule Learning (Cohen 1 99 6) [ 2 7 ], Naïve Bayes (Sahami et al., 1 99 8; Androutsopoulos et al., 2 00 0; Rennie.,2 00 0) [ 5 , 1 09 , 1 15 ],Memory based Learning (Sakkiset al.,2 00 0 b"
28,"Cohen PR, Morgan J, Ramsay AM (2 00 2) Intention in communication, Am J Psychol 1 04(4)",1,"inchor,1 99 3) [ 1 31 , 1 57 ]. Work on user modeling (Wahlster and Kobsa, 1 98 9) [ 1 42 ] was one strand in a research paper. Cohen et al. (2 00 2) [ 2 8 ] had put forwarded a first approximation of a compositional theory of tune interpretation, together with phonological assumptions on which it is based"
29,"Collobert R, Weston J (2 00 8) A unified architecture for natural language processing. In proceedings of the 2 5 th international conference on machine learning (pp. 1 60 – 1 67)",1,"al. [ 1 2 ] proposed the concept of feed forward neural network and lookup table which represents the n previous words in sequence. Collobert et al. [ 2 9 ] proposed the application of multitask learning in the field of NLP, where two convolutional models with max pooling were used to perform parts-of-spe"
30,"Dai Z, Yang Z, Yang Y, Carbonell J, Le QV, Salakhutdinov R, (2 01 9) Transformer-xl: attentive language models beyond a fixed-length context. ar Xiv preprint ar Xiv:1 90 1.0 28 60",1,learning longer-term dependency but are limited by a fixed-length context in the setting of language modeling. In this direction recently Dai et al. [ 3 0 ] proposed a novel neural architecture Transformer-XL (XL as extra- long) which enables learning dependencies beyond a fixed length of words. Further t
31,"Davis E, Marcus G (2 01 5) Commonsense reasoning and commonsense knowledge in artificial intelli- gence. Commun ACM 5 8(9):9 2 – 1 03",1,"view work by Alshemali and Kalita (2 02 0) [ 3 ], and references cited there in. In the recent past, models dealing with Visual Commonsense Reasoning [ 3 1 ] and NLP have also been getting attention of the several researchers and seems a promising and challenging area to work upon. These models try to extr"
33,"Devlin J, Chang MW, Lee K, Toutanova K, (2 01 8) Bert: pre-training of deep bidirectional transformers for language understanding. ar Xiv preprint ar Xiv:1 81 0.0 48 05",1,"3) 8 2:3 71 3–3 74 4 <!-- Page 11 --> relevant references cited therein. The use of BERT (Bidirectional Encoder Representations from Transformers) [ 3 3 ] model and successive models have also played an important role for NLP. Many researchers worked on NLP, building tools and systems which makes NLP wh"
34,"Diab M, Hacioglu K, Jurafsky D (2 00 4) Automatic tagging of Arabic text: From raw text to base phrase chunks. In Proceedings of HLT-NAACL 2 00 4: Short papers (pp. 1 49 – 1 52). Assoc Computat Linguist",1,"each word using suffix stripping algorithm, wherein the longest suffix is searched from the suffix table and tags are assigned. Diab et al. (2 00 4) [ 3 4 ] used supervised machine learning approach and adopted Support Vector Machines (SVMs) which were trained on the Arabic Treebank to automati- cally tok"
35,Doddington G (2 00 2) Automatic evaluation of machine translation quality using n-gram co-occurrence statistics. In proceedings of the second international conference on human language technology research (pp. 1 38-1 45). Morgan Kaufmann publishers Inc,1,"8 ], multi-reference word error rate (Nießen et al., 2 00 0) [ 9 5 ], BLEU score (Papineni et al., 2 00 2) [ 1 01 ], NIST score (Doddington, 2 00 2) [ 3 5 ] All these criteria try to approximate human assessment and often achieve an astonishing degree of correlation to human subjective evaluation of fluen"
36,"Drucker H, Wu D, Vapnik VN (1 99 9) Support vector machines for spam categorization. IEEE Trans Neural Netw 1 0(5):1 04 8 – 1 05 4",1,", 2 00 0; Rennie.,2 00 0) [ 5 , 1 09 , 1 15 ],Memory based Learning (Sakkiset al.,2 00 0 b) [ 1 17 ], Support vector machines (Druker et al., 1 99 9) [ 3 6 ], Decision Trees (Carreras and Marquez, 2 00 1) [ 1 9 ], Maximum Entropy Model (Berger et al. 1 99 6) [ 1 4 ], Hash Forest and a rule encoding method"
37,"Dunlavy DM, O ’ Leary DP, Conroy JM, Schlesinger JD (2 00 7) QCS: A system for querying, clustering and summarizing documents. Inf Process Manag 4 3(6):1 58 8 – 1 60 5",1,59 ]; Fattah and Ren 2 00 9 [ 4 3 ]).Summaries can also be of two types: generic or query-focused (Gong and Liu 2 00 1 [ 5 0 ]; Dunlavy et al. 2 00 7 [ 3 7 ]; Wan 2 00 8 [ 1 44 ]; Ouyang et al. 2 01 1 [ 9 9 ]).Summarization task can be either supervised or unsupervised (Mani and Maybury 1 99 9 [ 7 4 ]; Fat
38,Elkan C (2 00 8) Log-Linear Models and Conditional Random Fields. http://cseweb.ucsd.edu/welkan/2 50 B/ cikmtutorial.pdf accessed 2 8 Jun 2 01 7.,1,"between languages. Whereas generative models can become troublesome when many features are used and discriminative models allow use of more features [ 3 8 ]. Few of the examples of discriminative methods are Logistic regression and conditional random fields (CRFs), generative methods are Naive Bayes class"
40,"Europarl: A Parallel Corpus for Statistical Machine Translation (2 00 5) Philipp Koehn , MT Summit 2 00 5",1,"of many sentences. b) The Europarl parallel corpus is derived from the European Parliament ’ s proceedings. It is available in 2 1 European languages [ 4 0 ]. c) WMT 14 provides machine translation pairs for English-German and English-French. Separately, these datasets comprise 4.5 million and 3 5 million"
