Ref_Number,Reference_Text,Citation_Count,Context_1,Context_2,Context_3,All_Contexts
10,"Baud RH, Rassinoux AM, Scherrer JR (1 99 2) Natural language processing and semantical representation",1,"down, so an ability to summarize the data while keeping the meaning intact is highly
required. This is important not just allowing us the ability to recognize the understand
the important information for a large set of data, it is used to understand ...",,,"down, so an ability to summarize the data while keeping the meaning intact is highly
required. This is important not just allowing us the ability to recognize the understand
the important information for a large set of data, it is used to understand ..."
11,"Baud RH, Alpay L, Lovis C (1 99 4) Let ’ s meet the users with natural language understanding. Knowledge",1,"relevant references cited therein. The use of BERT (Bidirectional Encoder Representations
from Transformers) [ 3 3 ] model and successive models have also played an important role for
NLP.
Many researchers worked on NLP, building tools and systems wh...",,,"relevant references cited therein. The use of BERT (Bidirectional Encoder Representations
from Transformers) [ 3 3 ] model and successive models have also played an important role for
NLP.
Many researchers worked on NLP, building tools and systems wh..."
12,"Bengio Y, Ducharme R, Vincent P (2 00 1) A neural probabilistic language model. Proceedings of NIPS",1,"is achieved by recognizing the entity referenced by an anaphor to resolve the references used
within the text with the same sense. For example, (i) Ram topped in the class. (ii) He was
intelligent. Here i) and ii) together form a discourse. Human bei...",,,"is achieved by recognizing the entity referenced by an anaphor to resolve the references used
within the text with the same sense. For example, (i) Ram topped in the class. (ii) He was
intelligent. Here i) and ii) together form a discourse. Human bei..."
13,"Benson E, Haghighi A, Barzilay R (2 01 1) Event discovery in social media feeds. In proceedings of the",1,"The lexicon was created using Me SH (Medical Subject Headings), Dorland ’ s Illustrated
Medical Dictionary and general English Dictionaries. The Centre d ’ Informatique Hospitaliere
of the Hopital Cantonal de Geneve is working on an electronic archiv...",,,"The lexicon was created using Me SH (Medical Subject Headings), Dorland ’ s Illustrated
Medical Dictionary and general English Dictionaries. The Centre d ’ Informatique Hospitaliere
of the Hopital Cantonal de Geneve is working on an electronic archiv..."
14,"Berger AL, Della Pietra SA, Della Pietra VJ (1 99 6) A maximum entropy approach to natural language",2,"down, so an ability to summarize the data while keeping the meaning intact is highly
required. This is important not just allowing us the ability to recognize the understand
the important information for a large set of data, it is used to understand ...","down, so an ability to summarize the data while keeping the meaning intact is highly
required. This is important not just allowing us the ability to recognize the understand
the important information for a large set of data, it is used to understand ...",,"down, so an ability to summarize the data while keeping the meaning intact is highly
required. This is important not just allowing us the ability to recognize the understand
the important information for a large set of data, it is used to understand ... | down, so an ability to summarize the data while keeping the meaning intact is highly
required. This is important not just allowing us the ability to recognize the understand
the important information for a large set of data, it is used to understand ..."
15,"Blanzieri E, Bryl A (2 00 8) A survey of learning-based techniques of email spam filtering. Artif Intell Rev",1,"b)
Text Categorization
Categorization systems input a large flow of data like official documents, military casualty
reports, market data, newswires etc. and assign them to predefined categories or indices. For
example, The Carnegie Group ’ s Construe...",,,"b)
Text Categorization
Categorization systems input a large flow of data like official documents, military casualty
reports, market data, newswires etc. and assign them to predefined categories or indices. For
example, The Carnegie Group ’ s Construe..."
16,"Bondale N, Maloor P, Vaidyanathan A, Sengupta S, Rao PV (1 99 9) Extraction of information from open-",1,"b)
Text Categorization
Categorization systems input a large flow of data like official documents, military casualty
reports, market data, newswires etc. and assign them to predefined categories or indices. For
example, The Carnegie Group ’ s Construe...",,,"b)
Text Categorization
Categorization systems input a large flow of data like official documents, military casualty
reports, market data, newswires etc. and assign them to predefined categories or indices. For
example, The Carnegie Group ’ s Construe..."
17,"Borst F, Sager N, Nhàn NT, Su Y, Lyman M, Tick LJ, ..., Scherrer JR (1 98 9) Analyse automatique de",1,"b)
Text Categorization
Categorization systems input a large flow of data like official documents, military casualty
reports, market data, newswires etc. and assign them to predefined categories or indices. For
example, The Carnegie Group ’ s Construe...",,,"b)
Text Categorization
Categorization systems input a large flow of data like official documents, military casualty
reports, market data, newswires etc. and assign them to predefined categories or indices. For
example, The Carnegie Group ’ s Construe..."
18,"Briscoe EJ, Grover C, Boguraev B, Carroll J (1 98 7) A formalism and environment for the development of",2,"The main objectives of NLP include interpretation, analysis, and manipulation of natural
language data for the intended purpose with the use of various algorithms, tools, and methods.
However, there are many challenges involved which may depend upon ...","d)
There are around 1 60,0 00 sentence pairings in the IWSLT 1 4. The dataset includes
descriptions in English-German (En-De) and German-English (De-En) languages. There
are around 2 00 K training sentence sets in the IWSLT 1 3 dataset.
e)
The IIT Bo...",,"The main objectives of NLP include interpretation, analysis, and manipulation of natural
language data for the intended purpose with the use of various algorithms, tools, and methods.
However, there are many challenges involved which may depend upon ... | d)
There are around 1 60,0 00 sentence pairings in the IWSLT 1 4. The dataset includes
descriptions in English-German (En-De) and German-English (De-En) languages. There
are around 2 00 K training sentence sets in the IWSLT 1 3 dataset.
e)
The IIT Bo..."
19,"Carreras X, Marquez L (2 00 1) Boosting trees for anti-spam email filtering. ar Xiv preprint cs/0 10 90 15",1,"The lexicon was created using Me SH (Medical Subject Headings), Dorland ’ s Illustrated
Medical Dictionary and general English Dictionaries. The Centre d ’ Informatique Hospitaliere
of the Hopital Cantonal de Geneve is working on an electronic archiv...",,,"The lexicon was created using Me SH (Medical Subject Headings), Dorland ’ s Illustrated
Medical Dictionary and general English Dictionaries. The Centre d ’ Informatique Hospitaliere
of the Hopital Cantonal de Geneve is working on an electronic archiv..."
20,"Chalkidis I, Fergadiotis M, Malakasiotis P, Aletras N, Androutsopoulos I (2 02 0) LEGAL-BERT: the",1,"the users in prioritizing their messages based on the emotions attached with the message. Seal
et al. (2 02 0) [ 1 20 ] proposed an efficient emotion detection method by searching emotional
words from a pre-defined emotional keyword database and anal...",,,"the users in prioritizing their messages based on the emotions attached with the message. Seal
et al. (2 02 0) [ 1 20 ] proposed an efficient emotion detection method by searching emotional
words from a pre-defined emotional keyword database and anal..."
21,"Chi EC, Lyman MS, Sager N, Friedman C, Macleod C (1 98 5) A database of computer-structured",1,"c)
Paper Reviews: It provides reviews of computing and informatics conferences written in
English and Spanish languages. It has 4 05 reviews which are evaluated on a 5-point scale
ranging from very negative to very positive.
d)
IMDB: For natural lang...",,,"c)
Paper Reviews: It provides reviews of computing and informatics conferences written in
English and Spanish languages. It has 4 05 reviews which are evaluated on a 5-point scale
ranging from very negative to very positive.
d)
IMDB: For natural lang..."
22,"Cho K, Van Merriënboer B, Bahdanau D, Bengio Y, (2 01 4) On the properties of neural machine",1,"relevant references cited therein. The use of BERT (Bidirectional Encoder Representations
from Transformers) [ 3 3 ] model and successive models have also played an important role for
NLP.
Many researchers worked on NLP, building tools and systems wh...",,,"relevant references cited therein. The use of BERT (Bidirectional Encoder Representations
from Transformers) [ 3 3 ] model and successive models have also played an important role for
NLP.
Many researchers worked on NLP, building tools and systems wh..."
23,"Chomsky N (1 96 5) Aspects of the theory of syntax. MIT Press, Cambridge, Massachusetts",1,"than one way is also an area to work upon where more accuracy can be achieved. Language
containing informal phrases, expressions, idioms, and culture-specific lingo make difficult to
design models intended for the broad use, however having a lot of d...",,,"than one way is also an area to work upon where more accuracy can be achieved. Language
containing informal phrases, expressions, idioms, and culture-specific lingo make difficult to
design models intended for the broad use, however having a lot of d..."
24,Choudhary N (2 02 1) LDC-IL: the Indian repository of resources for language technology. Lang Resources,1,"relevant references cited therein. The use of BERT (Bidirectional Encoder Representations
from Transformers) [ 3 3 ] model and successive models have also played an important role for
NLP.
Many researchers worked on NLP, building tools and systems wh...",,,"relevant references cited therein. The use of BERT (Bidirectional Encoder Representations
from Transformers) [ 3 3 ] model and successive models have also played an important role for
NLP.
Many researchers worked on NLP, building tools and systems wh..."
25,"Chouikhi H, Chniter H, Jarray F (2 02 1) Arabic sentiment analysis using BERT model. In international",2,"Ambiguity is one of the major problems of natural language which occurs when one
sentence can lead to different interpretations. This is usually faced in syntactic, semantic,
and lexical levels. In case of syntactic level ambiguity, one sentence can ...","Ambiguity is one of the major problems of natural language which occurs when one
sentence can lead to different interpretations. This is usually faced in syntactic, semantic,
and lexical levels. In case of syntactic level ambiguity, one sentence can ...",,"Ambiguity is one of the major problems of natural language which occurs when one
sentence can lead to different interpretations. This is usually faced in syntactic, semantic,
and lexical levels. In case of syntactic level ambiguity, one sentence can ... | Ambiguity is one of the major problems of natural language which occurs when one
sentence can lead to different interpretations. This is usually faced in syntactic, semantic,
and lexical levels. In case of syntactic level ambiguity, one sentence can ..."
26,"Chung J, Gulcehre C, Cho K, Bengio Y, (2 01 4) Empirical evaluation of gated recurrent neural networks",1,"but for the emphasis on heavy evaluation, starting a trend that became a major feature in 1 99 0 s
(Young and Chase, 1 99 8; Sundheim and Chinchor,1 99 3) [ 1 31 , 1 57 ]. Work on user modeling
(Wahlster and Kobsa, 1 98 9) [ 1 42 ] was one strand in ...",,,"but for the emphasis on heavy evaluation, starting a trend that became a major feature in 1 99 0 s
(Young and Chase, 1 99 8; Sundheim and Chinchor,1 99 3) [ 1 31 , 1 57 ]. Work on user modeling
(Wahlster and Kobsa, 1 98 9) [ 1 42 ] was one strand in ..."
27,Cohen WW (1 99 6) Learning rules that classify e-mail. In AAAI spring symposium on machine learning in,4,"The main objectives of NLP include interpretation, analysis, and manipulation of natural
language data for the intended purpose with the use of various algorithms, tools, and methods.
However, there are many challenges involved which may depend upon ...","Corpus is a collection of linguistic data, either compiled from written texts or transcribed from
recorded speech. Corpora are intended primarily for testing linguistic hypotheses - e.g., to
determine how a certain sound, word, or syntactic construct...","d)
There are around 1 60,0 00 sentence pairings in the IWSLT 1 4. The dataset includes
descriptions in English-German (En-De) and German-English (De-En) languages. There
are around 2 00 K training sentence sets in the IWSLT 1 3 dataset.
e)
The IIT Bo...","The main objectives of NLP include interpretation, analysis, and manipulation of natural
language data for the intended purpose with the use of various algorithms, tools, and methods.
However, there are many challenges involved which may depend upon ... | Corpus is a collection of linguistic data, either compiled from written texts or transcribed from
recorded speech. Corpora are intended primarily for testing linguistic hypotheses - e.g., to
determine how a certain sound, word, or syntactic construct... | d)
There are around 1 60,0 00 sentence pairings in the IWSLT 1 4. The dataset includes
descriptions in English-German (En-De) and German-English (De-En) languages. There
are around 2 00 K training sentence sets in the IWSLT 1 3 dataset.
e)
The IIT Bo... | d)
There are around 1 60,0 00 sentence pairings in the IWSLT 1 4. The dataset includes
descriptions in English-German (En-De) and German-English (De-En) languages. There
are around 2 00 K training sentence sets in the IWSLT 1 3 dataset.
e)
The IIT Bo..."
28,"Cohen PR, Morgan J, Ramsay AM (2 00 2) Intention in communication, Am J Psychol 1 04(4)",1,"Naive Bayes is a probabilistic algorithm which is based on probability theory and Bayes ’
Theorem to predict the tag of a text such as news or customer review. It helps to calculate the
probability of each tag for the given text and return the tag wi...",,,"Naive Bayes is a probabilistic algorithm which is based on probability theory and Bayes ’
Theorem to predict the tag of a text such as news or customer review. It helps to calculate the
probability of each tag for the given text and return the tag wi..."
29,"Collobert R, Weston J (2 00 8) A unified architecture for natural language processing. In proceedings of the",1,"Rationalist approach or symbolic approach assumes that a crucial part of the knowledge in the
human mind is not derived by the senses but is firm in advance, probably by genetic
inheritance. Noam Chomsky was the strongest advocate of this approach. I...",,,"Rationalist approach or symbolic approach assumes that a crucial part of the knowledge in the
human mind is not derived by the senses but is firm in advance, probably by genetic
inheritance. Noam Chomsky was the strongest advocate of this approach. I..."
30,"Dai Z, Yang Z, Yang Y, Carbonell J, Le QV, Salakhutdinov R, (2 01 9) Transformer-xl: attentive language",1,"relevant references cited therein. The use of BERT (Bidirectional Encoder Representations
from Transformers) [ 3 3 ] model and successive models have also played an important role for
NLP.
Many researchers worked on NLP, building tools and systems wh...",,,"relevant references cited therein. The use of BERT (Bidirectional Encoder Representations
from Transformers) [ 3 3 ] model and successive models have also played an important role for
NLP.
Many researchers worked on NLP, building tools and systems wh..."
31,"Davis E, Marcus G (2 01 5) Commonsense reasoning and commonsense knowledge in artificial intelli-",1,"but for the emphasis on heavy evaluation, starting a trend that became a major feature in 1 99 0 s
(Young and Chase, 1 99 8; Sundheim and Chinchor,1 99 3) [ 1 31 , 1 57 ]. Work on user modeling
(Wahlster and Kobsa, 1 98 9) [ 1 42 ] was one strand in ...",,,"but for the emphasis on heavy evaluation, starting a trend that became a major feature in 1 99 0 s
(Young and Chase, 1 99 8; Sundheim and Chinchor,1 99 3) [ 1 31 , 1 57 ]. Work on user modeling
(Wahlster and Kobsa, 1 98 9) [ 1 42 ] was one strand in ..."
32,"Desai NP, Dabhi VK (2 02 2) Resources and components for Gujarati NLP systems: a survey. Artif Intell",1,"The main objectives of NLP include interpretation, analysis, and manipulation of natural
language data for the intended purpose with the use of various algorithms, tools, and methods.
However, there are many challenges involved which may depend upon ...",,,"The main objectives of NLP include interpretation, analysis, and manipulation of natural
language data for the intended purpose with the use of various algorithms, tools, and methods.
However, there are many challenges involved which may depend upon ..."
